Name;HasErrors;ThrownOut;Grade;QU1;QU2;QU3
Änderungen;0;0;1;1;2;2
Cancel;0;0;6;5;6;6
Hochziehen einer Solution;0;0;5;3;4;3
JobVerarbeiten;0;0;3;2;2;2
LockMode;0;1;;;;
Sitzung;0;0;5;4;3;4
Ekpr_import_schnittstelle;0;1;;;;
SignaturVorgang;0;1;;;;
Reperatur;0;0;6;5;5;5
TraceNummer;0;0;4;5;4;5
Notebook_Aufsetzen;0;0;5;4;5;4
TransportmittelFürFahrtenbuch;0;0;6;6;6;6
Inventur;0;0;4;4;3;4
BMD_updates;0;0;1;2;1;1
Fakturen;0;0;4;4;4;4
KommSchein;0;0;4;4;4;4
Zugriff_DOT;0;1;;;;
vkpr_import_schnittstelle;0;0;3;4;3;2
Benutzerberechtigungen;0;0;4;4;4;5
Architektur_Aus_Anwendersicht;0;0;5;5;4;5
Nachrichten;0;0;2;1;2;3
Klumpat_Attribut;0;0;2;2;1;2
Auswahldialog;0;0;2;2;3;1
löschen;0;0;6;5;6;4
inventurstorno;0;0;3;2;3;2
spl_Termin_neuberechnen;0;1;;;;
JobVerarbeitung_auslösen;0;1;;;;
Debitor;0;0;5;4;4;3
ViewUnitRetrieveType;0;1;;;;
MarkdownFile;0;0;5;4;5;5
Datencontext;0;0;2;2;1;2
db_export;0;1;;;;
speichern_neuanlage;0;0;3;2;3;3
DatenobjekttypFürAnweisung;0;0;2;1;2;2
Kassa;0;0;2;2;2;2
Auftragsanlage;0;0;1;1;2;1
Job_wartezeitfürwiederausführung;0;0;6;5;5;4
Transaktion;0;0;3;2;2;2
speichern_änderungsmodus;0;0;4;2;2;1
Solution_releasen;0;0;3;3;3;3
Deploy_Ordner;0;1;;;;
BsIndikator;0;0;6;4;5;5
Warenbeschaffung;0;0;6;6;7;6
Fehlerbehandlung;0;0;2;1;1;1
Verkaufspreisfindung;0;1;;;;
Kommissionierung;0;1;;;;
Saisonware;0;0;2;2;1;2
Sql_Phase1_2_3;0;0;2;1;1;1
