Name;Group;AnonLevel;HatFehler;Tasks;Events;SequenceFlows;XOR (Split);XOR (Join);AND (Split);AND (Join);task_fitness;task_precision;event_fitness;event_precision;gatewayPositioning_fitness;gatewayPositioning_precision;gatewayContent_fitness;gatewayContent_precision;flow_fitness;flow_precision
Architektur_Aus_Anwendersicht;Aalst;Anon1;0;6;2;16;2;2;1;1;0,0000;0,0000;1,0000;1,0000;1,0000;0,0000;1,0000;0,0000;0,0000;0,0000
Auftragsanlage;Aalst;Anon1;0;21;2;22;0;0;0;0;0,2000;0,0476;1,0000;1,0000;1,0000;1,0000;1,0000;1,0000;0,0000;0,0000
Auswahldialog;Aalst;Anon1;0;13;2;20;1;1;1;1;0,0000;0,0000;1,0000;1,0000;1,0000;0,0000;1,0000;0,0000;0,0000;0,0000
Benutzerberechtigungen;Aalst;Anon1;0;5;2;12;1;1;1;1;0,0000;0,0000;1,0000;1,0000;1,0000;0,5000;0,0000;0,0000;0,0000;0,0000
BMD_updates;Aalst;Anon1;0;7;2;20;4;4;0;0;0,0000;0,0000;1,0000;1,0000;1,0000;0,5000;0,0000;0,0000;0,0833;0,0500
BsIndikator;Aalst;Anon1;0;5;2;12;2;2;0;0;0,0000;0,0000;1,0000;1,0000;1,0000;0,5000;0,0000;0,0000;0,0000;0,0000
Cancel;Aalst;Anon1;0;4;2;9;0;0;1;1;0,0000;0,0000;1,0000;1,0000;1,0000;0,0000;1,0000;0,0000;0,0000;0,0000
Datencontext;Aalst;Anon1;0;10;2;14;1;1;0;0;0,2000;0,1000;1,0000;1,0000;1,0000;1,0000;0,5000;0,5000;0,3333;0,2143
DatenobjekttypFürAnweisung;Aalst;Anon1;0;4;2;8;0;0;1;1;0,0000;0,2500;1,0000;1,0000;1,0000;0,0000;1,0000;0,0000;0,0000;0,0000
db_export;Aalst;Anon1;0;21;2;25;0;0;1;1;0,0000;0,0952;1,0000;1,0000;1,0000;0,0000;1,0000;0,0952;0,0000;0,0400
Debitor;Aalst;Anon1;0;14;2;22;1;1;1;1;0,0000;0,1429;1,0000;1,0000;1,0000;0,0000;1,0000;0,1538;0,0000;0,0000
Deploy_Ordner;Aalst;Anon1;0;16;2;45;7;7;1;2;0,0000;0,0000;1,0000;1,0000;1,0000;0,0000;1,0000;0,0000;0,0000;0,0000
Ekpr_import_schnittstelle;Aalst;Anon1;0;8;2;14;1;1;0;0;0,1667;0,2500;1,0000;1,0000;0,3333;0,5000;0,2000;0,0000;0,0000;0,0714
Fakturen;Aalst;Anon1;0;8;2;12;1;1;0;0;0,0000;0,2500;1,0000;1,0000;1,0000;1,0000;0,0000;0,0000;0,0000;0,0000
Fehlerbehandlung;Aalst;Anon1;0;8;2;15;2;2;0;0;0,0000;0,2500;1,0000;1,0000;1,0000;0,0000;0,0000;0,2500;0,0000;0,0000
Hochziehen einer Solution;Aalst;Anon1;0;4;2;8;0;0;1;1;0,0000;0,0000;1,0000;1,0000;1,0000;0,0000;1,0000;0,0000;0,0000;0,0000
inventurstorno;Aalst;Anon1;0;10;2;14;1;1;0;0;0,0000;0,1000;1,0000;1,0000;1,0000;1,0000;0,0000;0,2000;0,0000;0,0000
inventur;Aalst;Anon1;0;10;2;17;2;2;0;0;0,0000;0,2000;1,0000;1,0000;1,0000;0,2500;0,0000;0,0000;0,0000;0,0588
JobVerarbeiten;Aalst;Anon1;0;4;2;8;0;0;1;1;0,0000;0,0000;1,0000;1,0000;1,0000;1,0000;0,0000;0,0000;0,0000;0,0000
JobVerarbeitung_auslösen;Aalst;Anon1;0;9;2;13;1;1;0;0;0,0000;0,0000;1,0000;1,0000;1,0000;0,0000;1,0000;0,0000;0,0000;0,0000
Job_wartezeitfürwiederausführung;Aalst;Anon1;0;5;2;11;1;1;0;0;0,0000;0,0000;1,0000;1,0000;1,0000;1,0000;0,0000;0,0000;0,1000;0,0909
Kassa;Aalst;Anon1;0;11;2;22;3;3;0;0;0,0000;0,1818;1,0000;1,0000;1,0000;0,3333;0,0000;0,1667;0,0000;0,0000
Klumpat_Attribut;Aalst;Anon1;0;4;2;8;1;1;0;0;0,0000;0,0000;1,0000;1,0000;1,0000;1,0000;0,0000;0,0000;0,0000;0,0000
Kommissionierung;Aalst;Anon1;0;25;2;29;1;1;0;0;0,0000;0,0000;1,0000;1,0000;1,0000;0,0000;1,0000;0,0000;0,0000;0,0000
KommSchein;Aalst;Anon1;0;7;2;11;1;1;0;0;0,0000;0,0000;1,0000;1,0000;0,5000;1,0000;0,0000;0,0000;0,0000;0,0000
LockMode;Aalst;Anon1;0;6;2;10;1;1;0;0;0,0000;0,0000;1,0000;1,0000;1,0000;0,0000;1,0000;0,0000;0,0000;0,0000
löschen;Aalst;Anon1;0;4;2;8;0;0;1;1;0,0000;0,0000;1,0000;1,0000;0,0000;0,0000;0,0000;0,0000;0,0000;0,0000
MarkdownFile;Aalst;Anon1;0;3;2;4;0;0;0;0;0,0000;0,0000;1,0000;1,0000;1,0000;1,0000;1,0000;1,0000;0,0000;0,0000
Nachrichten;Aalst;Anon1;0;6;2;7;0;0;0;0;0,0000;0,0000;1,0000;1,0000;0,0000;1,0000;0,0000;1,0000;0,0000;0,0000
Notebook_Aufsetzen;Aalst;Anon1;0;9;2;13;1;1;0;0;0,2500;0,2222;1,0000;1,0000;1,0000;0,0000;1,0000;0,0000;0,1111;0,0769
Reperatur;Aalst;Anon1;0;6;2;10;1;1;0;0;0,0000;0,0000;1,0000;1,0000;1,0000;1,0000;0,0000;0,0000;0,0667;0,1000
Saisonware;Aalst;Anon1;0;6;2;12;0;0;1;2;0,0000;0,0000;1,0000;1,0000;1,0000;0,0000;1,0000;0,0000;0,0000;0,0000
SignaturVorgang;Aalst;Anon1;0;4;2;8;1;1;0;0;0,0000;0,0000;1,0000;1,0000;1,0000;1,0000;0,0000;0,0000;0,3333;0,2500
Sitzung;Aalst;Anon1;0;5;2;9;1;1;0;0;0,0000;0,0000;1,0000;1,0000;1,0000;0,0000;1,0000;0,0000;0,0000;0,0000
Solution_releasen;Aalst;Anon1;0;11;2;16;0;0;1;1;0,0000;0,0000;1,0000;1,0000;1,0000;0,0000;1,0000;0,0000;0,0000;0,0000
speichern_neuanlage;Aalst;Anon1;0;3;2;7;1;1;0;0;0,0000;0,0000;1,0000;1,0000;0,5000;1,0000;0,0000;0,0000;0,0000;0,0000
speichern_änderungsmodus;Aalst;Anon1;0;3;2;7;1;1;0;0;0,0000;0,0000;1,0000;1,0000;1,0000;1,0000;0,0000;0,0000;0,1667;0,1429
spl_Termin_neuberechnen;Aalst;Anon1;0;15;2;16;0;0;0;0;0,0000;0,1333;1,0000;1,0000;1,0000;1,0000;1,0000;1,0000;0,0000;0,0000
Sql_Phase1_2_3;Aalst;Anon1;0;10;2;14;1;1;0;0;0,0000;0,0000;1,0000;1,0000;1,0000;0,0000;1,0000;0,0000;0,0000;0,0000
TraceNummer;Aalst;Anon1;0;5;2;6;0;0;0;0;0,0000;0,0000;1,0000;1,0000;1,0000;1,0000;1,0000;1,0000;0,0000;0,0000
Transaktion;Aalst;Anon1;0;2;2;3;0;0;0;0;0,0000;0,0000;1,0000;1,0000;1,0000;1,0000;1,0000;1,0000;0,0000;0,0000
TransportmittelFürFahrtenbuch;Aalst;Anon1;0;3;2;7;1;1;0;0;0,0000;0,3333;1,0000;1,0000;1,0000;1,0000;0,0000;0,5000;0,0000;0,4286
Verkaufspreisfindung;Aalst;Anon1;0;25;2;29;1;1;0;0;0,0000;0,0000;1,0000;1,0000;1,0000;1,0000;0,0000;0,0000;0,0833;0,0345
ViewUnitRetrieveType;Aalst;Anon1;0;7;2;17;2;2;1;1;0,0000;0,1429;1,0000;1,0000;1,0000;0,3333;0,0000;0,1667;0,0000;0,0000
vkpr_import_schnittstelle;Aalst;Anon1;0;7;2;14;2;2;0;0;0,0000;0,0000;1,0000;1,0000;1,0000;0,5000;0,0000;0,0000;0,0000;0,0000
Warenbeschaffung;Aalst;Anon1;0;3;2;7;1;1;0;0;0,0000;0,0000;1,0000;1,0000;0,3333;1,0000;0,0000;0,0000;0,0000;0,0000
Zugriff_DOT;Aalst;Anon1;0;11;2;19;1;1;1;1;0,0000;0,0000;1,0000;1,0000;1,0000;0,5000;0,0000;0,0000;0,0000;0,0000
Änderungen;Aalst;Anon1;0;6;2;13;1;1;1;1;0,0000;0,0000;1,0000;1,0000;1,0000;0,5000;0,0000;0,0000;0,1429;0,0769
