Name;HasErrors;ThrownOut;Grade;QU1;QU2;QU3
Änderungen;0;1;;;;
Cancel;0;0;4;3;4;2
Hochziehen einer Solution;0;0;2;2;1;2
JobVerarbeiten;0;0;5;4;4;5
LockMode;0;1;;;;
Sitzung;0;0;1;2;2;2
Ekpr_import_schnittstelle;0;0;5;4;4;5
SignaturVorgang;0;0;5;4;5;4
Reperatur;0;0;4;3;4;3
TraceNummer;0;0;5;4;4;4
Notebook_Aufsetzen;0;0;7;6;7;6
TransportmittelFürFahrtenbuch;0;0;4;4;5;4
Inventur;0;1;;;;
BMD_updates;0;1;;;;
Fakturen;0;0;3;2;2;2
KommSchein;0;0;4;3;5;3
Zugriff_DOT;0;1;;;;
vkpr_import_schnittstelle;0;0;4;3;3;3
Benutzerberechtigungen;0;0;2;3;3;3
Architektur_Aus_Anwendersicht;0;1;;;;
Nachrichten;0;0;2;1;1;1
Klumpat_Attribut;0;0;5;4;5;5
Auswahldialog;0;0;3;3;2;3
löschen;0;1;;;;
inventurstorno;0;0;3;2;2;3
spl_Termin_neuberechnen;0;0;2;2;1;2
JobVerarbeitung_auslösen;0;0;4;5;3;3
Debitor;0;0;2;1;1;1
ViewUnitRetrieveType;0;1;;;;
MarkdownFile;0;0;4;4;3;4
Datencontext;0;1;;;;
db_export;0;1;;;;
speichern_neuanlage;1;;;;;
DatenobjekttypFürAnweisung;0;0;1;2;1;1
Kassa;1;;;;;
Auftragsanlage;0;1;;;;
Job_wartezeitfürwiederausführung;0;0;4;3;3;3
Transaktion;0;0;2;2;2;2
speichern_änderungsmodus;0;0;6;5;4;4
Solution_releasen;0;0;2;1;2;1
Deploy_Ordner;0;1;;;;
BsIndikator;0;0;4;4;4;3
Warenbeschaffung;0;1;;;;
Fehlerbehandlung;0;0;1;2;1;2
Verkaufspreisfindung;0;1;;;;
Kommissionierung;0;1;;;;
Saisonware;0;0;3;2;2;3
Sql_Phase1_2_3;0;0;3;2;2;2
