Name;HasErrors;ThrownOut;Grade;QU1;QU2;QU3
Änderungen;0;0;2;1;2;1
Cancel;0;0;3;3;2;2
Hochziehen einer Solution;0;0;3;3;2;2
JobVerarbeiten;0;0;3;3;3;3
LockMode;0;1;;;;
Sitzung;0;1;;;;
Ekpr_import_schnittstelle;0;0;3;3;3;2
SignaturVorgang;0;1;;;;
Reperatur;0;0;3;3;3;3
TraceNummer;0;0;2;2;2;2
Notebook_Aufsetzen;0;0;3;2;2;2
TransportmittelFürFahrtenbuch;0;0;3;2;3;2
Inventur;0;0;3;3;3;3
BMD_updates;0;0;3;3;3;3
Fakturen;0;1;;;;
KommSchein;0;0;5;4;3;3
Zugriff_DOT;0;1;;;;
vkpr_import_schnittstelle;0;1;;;;
Benutzerberechtigungen;0;0;5;4;4;4
Architektur_Aus_Anwendersicht;0;1;;;;
Nachrichten;0;0;2;2;2;2
Klumpat_Attribut;0;0;3;3;3;3
Auswahldialog;0;1;;;;
löschen;0;1;;;;
inventurstorno;0;1;;;;
spl_Termin_neuberechnen;0;0;3;3;3;3
JobVerarbeitung_auslösen;0;0;3;3;3;3
Debitor;0;0;2;2;2;2
ViewUnitRetrieveType;0;0;2;2;2;2
MarkdownFile;0;0;4;4;4;4
Datencontext;0;1;;;;
db_export;0;1;;;;
speichern_neuanlage;0;0;5;5;5;5
DatenobjekttypFürAnweisung;0;0;2;2;2;2
Kassa;0;1;;;;
Auftragsanlage;0;1;;;;
Job_wartezeitfürwiederausführung;0;0;4;4;4;4
Transaktion;0;0;2;2;2;2
speichern_änderungsmodus;0;0;5;5;5;5
Solution_releasen;0;1;;;;
Deploy_Ordner;0;1;;;;
BsIndikator;0;0;4;4;4;4
Warenbeschaffung;0;0;3;3;3;3
Fehlerbehandlung;0;1;;;;
Verkaufspreisfindung;0;1;;;;
Kommissionierung;0;1;;;;
Saisonware;0;1;;;;
Sql_Phase1_2_3;0;1;;;;
