Name;HasErrors;ThrownOut;Grade;QU1;QU2;QU3
Änderungen;0;1;;;;
Cancel;0;0;2;2;1;1
Hochziehen einer Solution;0;0;2;1;1;1
JobVerarbeiten;0;0;2;1;2;2
LockMode;0;1;;;;
Sitzung;0;0;6;5;4;5
Ekpr_import_schnittstelle;0;0;3;2;1;2
SignaturVorgang;0;0;6;6;5;6
Reperatur;0;0;4;4;5;4
TraceNummer;0;0;5;4;5;5
Notebook_Aufsetzen;0;0;3;3;4;3
TransportmittelFürFahrtenbuch;0;0;6;6;6;6
Inventur;1;;;;;
BMD_updates;0;1;;;;
Fakturen;0;0;4;3;3;3
KommSchein;0;0;2;2;3;2
Zugriff_DOT;0;1;;;;
vkpr_import_schnittstelle;0;0;3;3;2;3
Benutzerberechtigungen;0;0;4;3;2;2
Architektur_Aus_Anwendersicht;0;0;3;2;3;2
Nachrichten;0;0;6;7;6;6
Klumpat_Attribut;0;0;5;5;6;5
Auswahldialog;0;0;3;2;3;3
löschen;0;1;;;;
inventurstorno;0;0;2;3;2;3
spl_Termin_neuberechnen;0;0;3;3;2;3
JobVerarbeitung_auslösen;0;1;;;;
Debitor;0;0;2;1;1;1
ViewUnitRetrieveType;0;0;2;1;1;1
MarkdownFile;0;0;7;7;7;7
Datencontext;0;1;;;;
db_export;0;1;;;;
speichern_neuanlage;1;;;;;
DatenobjekttypFürAnweisung;0;0;2;1;1;2
Kassa;0;0;3;3;2;3
Auftragsanlage;0;1;;;;
Job_wartezeitfürwiederausführung;0;0;4;4;3;3
Transaktion;0;0;3;2;2;2
speichern_änderungsmodus;1;;;;;
Solution_releasen;0;0;4;3;3;4
Deploy_Ordner;0;1;;;;
BsIndikator;0;0;6;4;5;4
Warenbeschaffung;1;;;;;
Fehlerbehandlung;0;0;1;1;2;1
Verkaufspreisfindung;0;1;;;;
Kommissionierung;1;;;;;
Saisonware;0;0;3;3;2;2
Sql_Phase1_2_3;0;0;1;2;2;2
