Name;Group;AnonLevel;HatFehler;Tasks;Events;SequenceFlows;XOR (Split);XOR (Join);AND (Split);AND (Join);task_fitness;task_precision;event_fitness;event_precision;gatewayPositioning_fitness;gatewayPositioning_precision;gatewayContent_fitness;gatewayContent_precision;flow_fitness;flow_precision
Architektur_Aus_Anwendersicht;Aau;Anon2;0;11;2;12;0;0;0;0;0,0000;0,0000;1,0000;1,0000;1,0000;1,0000;1,0000;1,0000;0,0000;0,0000
Auftragsanlage;Aau;Anon2;1;;;;;;;;;;;;;;;;;
Auswahldialog;Aau;Anon2;0;12;2;16;0;0;0;0;0,0000;0,0000;1,0000;1,0000;1,0000;0,0000;1,0000;1,0000;0,0000;0,0000
Benutzerberechtigungen;Aau;Anon2;0;1;2;5;0;0;0;0;0,0000;0,0000;1,0000;1,0000;0,0000;0,0000;0,0000;1,0000;0,0000;0,0000
BMD_updates;Aau;Anon2;0;6;2;19;0;0;0;0;0,0000;0,0000;1,0000;1,0000;0,0000;0,0000;0,0000;1,0000;0,0000;0,0000
BsIndikator;Aau;Anon2;0;2;2;6;0;0;0;0;0,0000;0,0000;1,0000;1,0000;0,0000;0,0000;0,0000;1,0000;0,0000;0,0000
Cancel;Aau;Anon2;0;4;2;5;0;0;0;0;0,0000;0,0000;1,0000;1,0000;1,0000;1,0000;1,0000;1,0000;0,0000;0,0000
Datencontext;Aau;Anon2;0;8;2;15;0;0;0;0;0,0000;0,2500;1,0000;1,0000;0,0000;0,0000;0,0000;1,0000;0,0000;0,0000
DatenobjekttypFürAnweisung;Aau;Anon2;0;3;2;4;0;0;0;0;0,0000;0,0000;1,0000;1,0000;1,0000;1,0000;1,0000;1,0000;0,0000;0,0000
db_export;Aau;Anon2;0;12;2;13;0;0;0;0;0,0000;0,1667;1,0000;1,0000;1,0000;1,0000;1,0000;1,0000;0,0000;0,0769
Debitor;Aau;Anon2;0;12;2;16;0;0;0;0;0,0000;0,1667;1,0000;1,0000;1,0000;0,0000;1,0000;1,0000;0,0000;0,0000
